item,url,Date
Strawberry-Mint Shortcake,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Vegan Peach-Banana Cake,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Peanut Butter Cookie,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Lemon Jell-O® Parfait,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ranch Potato Chips,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Rigatoni Marinara,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Grilled Italian Sausage,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Carolina Pork BBQ Sandwich,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ragin' Cajun Fries,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
"
Old-Fashioned Coleslaw	","https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Red Lentil Rotini,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Ginger Tofu,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cauliflower Tabbouleh,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Cold Roasted Mushrooms,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Marinated Olives,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Beets,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Butternut Squash,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Chilled Roasted Broccoli,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
Roasted Brussels Sprouts,"https://udel.campusdish.com/LocationsAndMenus/CaesarRodneyFreshFoodCompany
",2021-09-07 20:13:55.145592
